Notes,"Auto (only x, y and -1 will be used)",Main catego,Sub catego name,sub gatego acrynom,Four letter name,"Tail, chain B (GL2, sn-1)","Tail, chain A (GL1, sn-2)","Tail, chain C (only used in TAG)",tail name,Common name,"Description (e.g. mapped structure, example of underlying AA names)",Keywords,Parameterization,Ref(s),Created,Author(s),Modified,Ref area per lipid (nm^2),Warninigs/Notes,,Generator -alhead,Generator -allink,Generator -altail,Sim setup -charge,General notes
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DNNE,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a DL headgroup and linker (DNNE),Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,NE,,CCCDCC CCCDCC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,SONE,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,NE,,CCCC CDCC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,SLNE,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,NE,,CCCC CDDC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,OLNE,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,NE,,CDCC CDDC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,OENE,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,NE,,CDCC CCDCC,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,LFNE,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,NE,,CDDC CDDD,0,
,x,NE,Tertiary amine headgroup linked to two esters - neutral,NE,DUNE,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Tertiary amine with esters as linkers - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,NE,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tertiary amine with esters as linkers - NP - charged +1,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_NP_dev_v1.itp,Tertiary amine with esters as linkers - Charged,Collection of Ionizable Martini 3 lipids with a DL headgroup and linker,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DLNP,CCC,CCC,,di-C14:0,di-C14:0,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,NP,,CCC CCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DSNP,CCCC,CCCC,,di-C18:0,di-C18:0,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,NP,,CCCC CCCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DBNP,CCCCC,CCCCC,,di-C22:0,di-C22:0,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,NP,,CCCCC CCCCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DONP,CDCC,CDCC,,di-C18:1,di-C18:1,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,NP,,CDCC CDCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DVNP,CCDC,CCDC,,di-C18:1,di-C18:1,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,NP,,CCDC CCDC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DENP,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DENP),Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,NP,,CCDCC CCDCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DNNP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a Piperzine head neutral (DNNP),Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,NP,,CCCDCC CCCDCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,SONP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,NP,,CCCC CDCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,SLNP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,NP,,CCCC CDDC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,OLNP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,NP,,CDCC CDDC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,OENP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,NP,,CDCC CCDCC,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,LFNP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,NP,,CDDC CDDD,1,
,x,NP,Tertiary amine headgroup linked to two esters - Charged,NP,DUNP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Tertiary amine headgroup linked to two esters - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,NP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_PI_dev_v1.itp,Piperizine head group with one ester as linker,Collection of Ionizable Martini 3 lipids with a Piperzine head neutral,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,PI,Piperizine head neutral,PI,DLPI,CCC,CCC,,di-C14:0,di-C14:0,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,PI,,CCC CCC,0,
,x,PI,Piperizine head neutral,PI,DSPI,CCCC,CCCC,,di-C18:0,di-C18:0,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,PI,,CCCC CCCC,0,
,x,PI,Piperizine head neutral,PI,DBPI,CCCCC,CCCCC,,di-C22:0,di-C22:0,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,PI,,CCCCC CCCCC,0,
,x,PI,Piperizine head neutral,PI,DOPI,CDCC,CDCC,,di-C18:1,di-C18:1,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,PI,,CDCC CDCC,0,
,x,PI,Piperizine head neutral,PI,DVPI,CCDC,CCDC,,di-C18:1,di-C18:1,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,PI,,CCDC CCDC,0,
,x,PI,Piperizine head neutral,PI,DEPI,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEPI),Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,PI,,CCDCC CCDCC,0,
,x,PI,Piperizine head neutral,PI,DNPI,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a Piperizine head group (DNPI),Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,PI,,CCCDCC CCCDCC,0,
,x,PI,Piperizine head neutral,PI,SOPI,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,PI,,CCCC CDCC,0,
,x,PI,Piperizine head neutral,PI,SLPI,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,PI,,CCCC CDDC,0,
,x,PI,Piperizine head neutral,PI,OLPI,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,PI,,CDCC CDDC,0,
,x,PI,Piperizine head neutral,PI,OEPI,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,PI,,CDCC CCDCC,0,
,x,PI,Piperizine head neutral,PI,LFPI,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,PI,,CDDC CDDD,0,
,x,PI,Piperizine head neutral,PI,DUPI,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Piperizine head neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,PI,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_PP_dev_v1.itp,Piperizine head group with one ester as linker,Collection of Ionizable Martini 3 lipids with a Piperizine head group,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,PP,Piperizine head +2 charge,PP,DLPP,CCC,CCC,,di-C14:0,di-C14:0,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,PP,,CCC CCC,2,
,x,PP,Piperizine head +2 charge,PP,DSPP,CCCC,CCCC,,di-C18:0,di-C18:0,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,PP,,CCCC CCCC,2,
,x,PP,Piperizine head +2 charge,PP,DBPP,CCCCC,CCCCC,,di-C22:0,di-C22:0,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,PP,,CCCCC CCCCC,2,
,x,PP,Piperizine head +2 charge,PP,DOPP,CDCC,CDCC,,di-C18:1,di-C18:1,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,PP,,CDCC CDCC,2,
,x,PP,Piperizine head +2 charge,PP,DVPP,CCDC,CCDC,,di-C18:1,di-C18:1,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,PP,,CCDC CCDC,2,
,x,PP,Piperizine head +2 charge,PP,DEPP,CCDCC,CCDCC,,di-C22:1,di-C22:1,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-8",2023.01.27,,,,,,PP,,CCDCC CCDCC,2,
